id,country,region_name,region_code,car_manufacturer,car_model,base_price,tax_rate,tax_amount,total_price,fuel_type,transmission,manufacturing_year,tag,status
CAR-00019,China,Asia,R1,BYD,Seal,21211.74,0.1622,3440.54,24652.28,Petrol,Manual,2023,Sports|Premium,Active
CAR-00020,United Kingdom,Europe,R2,Jaguar,I-Pace,23663.95,0.1644,3890.35,27554.3,Electric,Automatic,2026,Luxury|Economy|Electric-Vehicle,Discontinued
CAR-00021,China,Asia,R1,BYD,Atto 3,37193.9,0.2653,9867.54,47061.44,Diesel,Manual,2022,Sedan,Discontinued
CAR-00022,France,Europe,R2,Renault,Clio,37618.03,0.133,5003.2,42621.23,Hybrid,Automatic,2025,Luxury|Sedan,Pending_Launch
CAR-00023,Germany,Europe,R2,BMW,X5,51973.55,0.0917,4765.97,56739.52,Petrol,Automatic,2026,Premium|Electric-Vehicle,Pending_Launch
CAR-00024,France,Europe,R2,Peugeot,5008,14082.9,0.1172,1650.52,15733.42,Petrol,Manual,2023,Luxury|Sedan,Pending_Launch
CAR-00025,Japan,Asia,R1,Toyota,Prius,29091.7,0.193,5614.7,34706.4,Electric,Automatic,2024,Sports|Economy|Electric-Vehicle,Active
CAR-00026,Argentina,South America,R4,Purasangre,Sprint,23887.84,0.2658,6349.39,30237.23,Petrol,Manual,2022,Luxury|Sedan,Active
CAR-00027,United Kingdom,Europe,R2,Aston Martin,DB11,176491.31,0.1498,26438.4,202929.71,Petrol,Manual,2024,SUV|Economy,Pending_Launch
CAR-00028,New Zealand,Oceania,R6,Hulme,CanAm,36225.66,0.1007,3647.92,39873.58,Diesel,Automatic,2023,Premium,Pending_Launch
CAR-00029,USA,North America,R3,Tesla,Model Y,79468.67,0.1207,9591.87,89060.54,Electric,Automatic,2022,SUV|Luxury|Electric-Vehicle,Active
CAR-00030,South Africa,Africa,R5,Birkin,S3,12092.19,0.2342,2831.99,14924.18,Electric,Manual,2026,Sports|Electric-Vehicle,Discontinued
CAR-00031,India,Asia,R1,Tata Motors,Nexon,36571.32,0.2182,7979.86,44551.18,Diesel,Manual,2025,Commercial|Electric-Vehicle,Active
CAR-00032,Germany,Europe,R2,Volkswagen,Tiguan,21480.94,0.2666,5726.82,27207.76,Petrol,Automatic,2024,Economy,Active
CAR-00033,South Africa,Africa,R5,Birkin,S3,34479.75,0.2752,9488.83,43968.58,Diesel,Automatic,2025,Sports|Premium,Discontinued
CAR-00034,Italy,Europe,R2,Ferrari,296 GTB,307474.9,0.1016,31239.45,338714.35,Petrol,Automatic,2024,Commercial|Economy,Discontinued
CAR-00035,Canada,North America,R3,Campagna,T-Rex,12615.28,0.1186,1496.17,14111.45,Electric,Automatic,2024,Luxury|Commercial|Electric-Vehicle,Discontinued
CAR-00036,New Zealand,Oceania,R6,Hulme,CanAm,36420.17,0.1031,3754.92,40175.09,Electric,Manual,2022,Luxury|Electric-Vehicle,Active
CAR-00037,South Africa,Africa,R5,Birkin,S3,23346.24,0.2768,6462.24,29808.48,Petrol,Automatic,2025,Luxury|Economy,Active
CAR-00038,India,Asia,R1,Maruti Suzuki,Baleno,21469.76,0.094,2018.16,23487.92,Electric,Automatic,2026,Sports|Premium|Electric-Vehicle,Discontinued
CAR-00039,Canada,North America,R3,Campagna,T-Rex,22462.41,0.1391,3124.52,25586.93,Diesel,Manual,2023,Luxury|Sedan,Pending_Launch
CAR-00040,Canada,North America,R3,Campagna,T-Rex,19900.75,0.122,2427.89,22328.64,Electric,Automatic,2025,Sports|Sedan|Electric-Vehicle,Pending_Launch
CAR-00041,France,Europe,R2,Peugeot,3008,25401.75,0.2066,5248.0,30649.75,Electric,Manual,2024,Commercial|Electric-Vehicle,Pending_Launch
CAR-00042,Italy,Europe,R2,Fiat,500,12635.06,0.129,1629.92,14264.98,Hybrid,Manual,2023,Luxury|Sedan,Pending_Launch
CAR-00043,Argentina,South America,R4,Purasangre,Sprint,18343.6,0.2112,3874.17,22217.77,Petrol,Manual,2026,Commercial|Economy,Pending_Launch
CAR-00044,Egypt,Africa,R5,EGA,7-Series Assy,35854.22,0.1043,3739.6,39593.82,Diesel,Automatic,2024,Luxury|Sports,Pending_Launch
CAR-00045,Egypt,Africa,R5,EGA,7-Series Assy,35327.41,0.2287,8079.38,43406.79,Hybrid,Automatic,2024,SUV|Economy,Pending_Launch
CAR-00046,New Zealand,Oceania,R6,Hulme,CanAm,19139.53,0.0955,1827.83,20967.36,Electric,Manual,2022,SUV|Electric-Vehicle,Pending_Launch
CAR-00047,Germany,Europe,R2,BMW,5 Series,61066.94,0.1106,6754.0,67820.94,Diesel,Manual,2025,SUV|Sedan,Discontinued
CAR-00048,Japan,Asia,R1,Honda,City,22126.4,0.234,5177.58,27303.98,Petrol,Automatic,2025,Luxury|Sedan,Discontinued
CAR-00049,South Africa,Africa,R5,Birkin,S3,17704.96,0.1672,2960.27,20665.23,Petrol,Automatic,2023,SUV|Sports,Discontinued
CAR-00050,Egypt,Africa,R5,EGA,7-Series Assy,35580.15,0.1984,7059.1,42639.25,Petrol,Manual,2023,Sports|Economy,Discontinued
CAR-00051,Japan,Asia,R1,Nissan,Leaf,20511.17,0.1709,3505.36,24016.53,Electric,Automatic,2024,SUV|Luxury|Electric-Vehicle,Discontinued
CAR-00052,South Korea,Asia,R1,Kia,Sportage,31474.63,0.0904,2845.31,34319.94,Electric,Manual,2022,Sports|Commercial|Electric-Vehicle,Pending_Launch
CAR-00053,India,Asia,R1,Tata Motors,Harrier,33819.95,0.2043,6909.42,40729.37,Diesel,Manual,2025,Premium|Sedan,Active
CAR-00054,USA,North America,R3,Tesla,Model Y,73324.1,0.2727,19995.48,93319.58,Petrol,Manual,2024,Luxury|Premium,Active
CAR-00055,Argentina,South America,R4,Purasangre,Sprint,13975.91,0.2181,3048.15,17024.06,Diesel,Manual,2026,SUV|Sports,Pending_Launch
CAR-00056,China,Asia,R1,NIO,ES8,21027.3,0.1657,3484.22,24511.52,Electric,Manual,2025,SUV|Electric-Vehicle,Discontinued
CAR-00057,China,Asia,R1,Geely,Boyue,28525.21,0.2457,7008.64,35533.85,Diesel,Automatic,2024,Economy|Electric-Vehicle,Pending_Launch
CAR-00058,Australia,Oceania,R6,Holden,Colorado,33469.1,0.1985,6643.62,40112.72,Electric,Manual,2023,Premium|Commercial|Electric-Vehicle,Discontinued
CAR-00059,Egypt,Africa,R5,EGA,7-Series Assy,12746.2,0.2502,3189.1,15935.3,Diesel,Automatic,2024,Commercial|Economy,Discontinued
CAR-00060,USA,North America,R3,Ford,F-150,14225.94,0.224,3186.61,17412.55,Hybrid,Manual,2025,Sports,Discontinued
CAR-00061,India,Asia,R1,Tata Motors,Safari,17761.51,0.2184,3879.11,21640.62,Electric,Automatic,2026,Electric-Vehicle|Sedan,Discontinued
CAR-00062,Mexico,North America,R3,Mastretta,MXT,19043.83,0.1303,2481.41,21525.24,Petrol,Manual,2023,SUV|Sports,Pending_Launch
CAR-00063,United Kingdom,Europe,R2,Jaguar,I-Pace,24589.16,0.2249,5530.1,30119.26,Electric,Manual,2023,SUV|Commercial|Electric-Vehicle,Discontinued
CAR-00064,Canada,North America,R3,Campagna,T-Rex,19132.09,0.2749,5259.41,24391.5,Electric,Manual,2022,Sports|Commercial|Electric-Vehicle,Active
CAR-00065,Canada,North America,R3,Campagna,T-Rex,23452.19,0.1169,2741.56,26193.75,Petrol,Automatic,2025,Luxury|Sedan,Active
CAR-00066,Australia,Oceania,R6,Holden,Commodore,15944.9,0.2422,3861.85,19806.75,Electric,Manual,2026,Luxury|Premium|Electric-Vehicle,Discontinued
CAR-00067,Italy,Europe,R2,Lamborghini,Huracan,240102.89,0.1685,40457.34,280560.23,Hybrid,Automatic,2022,Premium|Electric-Vehicle,Pending_Launch
CAR-00068,United Kingdom,Europe,R2,Aston Martin,Vantage,202929.23,0.0962,19521.79,222451.02,Diesel,Manual,2025,Economy|Electric-Vehicle,Discontinued
CAR-00069,Australia,Oceania,R6,Holden,Commodore,18018.38,0.2214,3989.27,22007.65,Hybrid,Manual,2026,Luxury|Sports,Pending_Launch
CAR-00070,United Kingdom,Europe,R2,Land Rover,Defender,26158.62,0.2095,5480.23,31638.85,Electric,Manual,2026,Premium|Economy|Electric-Vehicle,Discontinued
CAR-00071,Canada,North America,R3,Campagna,T-Rex,24186.15,0.1408,3405.41,27591.56,Hybrid,Automatic,2026,Electric-Vehicle|Sedan,Active
CAR-00072,Japan,Asia,R1,Subaru,Impreza,20380.36,0.1301,2651.48,23031.84,Petrol,Manual,2026,Luxury|Commercial,Pending_Launch
CAR-00073,India,Asia,R1,Maruti Suzuki,Brezza,26982.42,0.2326,6276.11,33258.53,Diesel,Automatic,2023,Electric-Vehicle|Sedan,Discontinued
CAR-00074,South Africa,Africa,R5,Birkin,S3,24220.27,0.1617,3916.42,28136.69,Electric,Manual,2025,SUV|Commercial|Electric-Vehicle,Pending_Launch
CAR-00075,Canada,North America,R3,Campagna,T-Rex,23825.47,0.1429,3404.66,27230.13,Electric,Manual,2022,Luxury|Sedan|Electric-Vehicle,Pending_Launch
CAR-00076,Egypt,Africa,R5,EGA,7-Series Assy,16877.15,0.1524,2572.08,19449.23,Hybrid,Automatic,2023,Commercial|Economy,Pending_Launch
CAR-00077,Canada,North America,R3,Campagna,T-Rex,15157.08,0.2746,4162.13,19319.21,Diesel,Manual,2022,SUV|Premium,Discontinued
CAR-00078,Italy,Europe,R2,Fiat,Panda,36623.58,0.2095,7672.64,44296.22,Diesel,Automatic,2024,Luxury|SUV,Pending_Launch
CAR-00079,South Africa,Africa,R5,Birkin,S3,18337.0,0.1903,3489.53,21826.53,Hybrid,Manual,2022,Luxury|Electric-Vehicle,Active
CAR-00080,USA,North America,R3,Jeep,Wrangler,36290.46,0.1815,6586.72,42877.18,Petrol,Automatic,2025,Sports|Commercial,Pending_Launch
CAR-00081,Germany,Europe,R2,Audi,e-tron,58981.82,0.1904,11230.14,70211.96,Hybrid,Automatic,2023,Luxury|Commercial,Pending_Launch
CAR-00082,Argentina,South America,R4,Purasangre,Sprint,13134.83,0.2289,3006.56,16141.39,Hybrid,Automatic,2023,Luxury|Commercial,Pending_Launch
CAR-00083,Australia,Oceania,R6,Holden,Commodore,25059.57,0.198,4961.79,30021.36,Petrol,Automatic,2023,Luxury|Premium,Active
CAR-00084,South Africa,Africa,R5,Birkin,S3,24206.76,0.2738,6627.81,30834.57,Electric,Automatic,2026,Sports|Commercial|Electric-Vehicle,Pending_Launch
CAR-00085,Argentina,South America,R4,Purasangre,Sprint,34681.96,0.0872,3024.27,37706.23,Petrol,Manual,2022,Luxury|Sports,Active
CAR-00086,South Africa,Africa,R5,Birkin,S3,23535.64,0.2188,5149.6,28685.24,Petrol,Manual,2024,SUV|Premium,Discontinued
CAR-00087,South Africa,Africa,R5,Birkin,S3,25810.32,0.1932,4986.55,30796.87,Diesel,Manual,2026,Economy|Electric-Vehicle,Discontinued
CAR-00088,Italy,Europe,R2,Ferrari,Roma,178623.54,0.1722,30758.97,209382.51,Electric,Automatic,2024,SUV|Premium|Electric-Vehicle,Discontinued
CAR-00089,France,Europe,R2,Peugeot,3008,36576.13,0.2775,10149.88,46726.01,Electric,Automatic,2023,Sports|Sedan|Electric-Vehicle,Discontinued
CAR-00090,Argentina,South America,R4,Purasangre,Sprint,18167.35,0.1944,3531.73,21699.08,Electric,Automatic,2024,Premium|Commercial|Electric-Vehicle,Discontinued
CAR-00091,India,Asia,R1,Maruti Suzuki,Swift,35676.04,0.229,8169.81,43845.85,Electric,Manual,2023,SUV|Electric-Vehicle,Pending_Launch
CAR-00092,USA,North America,R3,Chevrolet,Silverado,35488.5,0.2093,7427.74,42916.24,Electric,Automatic,2022,SUV|Premium|Electric-Vehicle,Active
CAR-00093,Canada,North America,R3,Campagna,T-Rex,16566.64,0.1064,1762.69,18329.33,Electric,Automatic,2024,SUV|Commercial|Electric-Vehicle,Discontinued
CAR-00094,Mexico,North America,R3,Mastretta,MXT,37035.23,0.1082,4007.21,41042.44,Diesel,Automatic,2022,Luxury|Commercial,Discontinued
CAR-00095,Argentina,South America,R4,Purasangre,Sprint,25950.88,0.171,4437.6,30388.48,Electric,Automatic,2023,Luxury|Commercial|Electric-Vehicle,Active
CAR-00096,Australia,Oceania,R6,Holden,Colorado,35796.65,0.1243,4449.52,40246.17,Petrol,Automatic,2022,Luxury|SUV,Discontinued
CAR-00097,Germany,Europe,R2,Volkswagen,Golf,19913.48,0.1785,3554.56,23468.04,Petrol,Manual,2024,Luxury|Economy,Discontinued
CAR-00098,South Africa,Africa,R5,Birkin,S3,29027.97,0.2467,7161.2,36189.17,Hybrid,Automatic,2025,SUV|Premium,Discontinued
CAR-00099,Italy,Europe,R2,Ferrari,296 GTB,346185.54,0.1535,53139.48,399325.02,Electric,Manual,2025,Economy|Sedan|Electric-Vehicle,Active
CAR-00100,South Korea,Asia,R1,Hyundai,Creta,37248.43,0.0901,3356.08,40604.51,Electric,Manual,2022,Luxury|Commercial|Electric-Vehicle,Active
CAR-00101,United Kingdom,Europe,R2,Aston Martin,Vantage,312610.6,0.1266,39576.5,352187.1,Diesel,Manual,2026,SUV|Luxury,Active
CAR-00102,USA,North America,R3,Chevrolet,Silverado,29187.5,0.0852,2486.78,31674.28,Petrol,Automatic,2022,Commercial|Economy,Discontinued
CAR-00103,France,Europe,R2,Renault,Clio,15295.72,0.1642,2511.56,17807.28,Petrol,Manual,2026,Commercial|Sedan,Pending_Launch
CAR-00104,China,Asia,R1,Geely,Coolray,17760.29,0.203,3605.34,21365.63,Electric,Automatic,2025,Sports|Premium|Electric-Vehicle,Discontinued
CAR-00105,South Africa,Africa,R5,Birkin,S3,30522.43,0.1687,5149.13,35671.56,Petrol,Automatic,2026,Premium|Electric-Vehicle,Discontinued
CAR-00106,Mexico,North America,R3,Mastretta,MXT,23796.6,0.2011,4785.5,28582.1,Petrol,Manual,2023,Sports|Commercial,Pending_Launch
CAR-00107,South Africa,Africa,R5,Birkin,S3,22759.15,0.2455,5587.37,28346.52,Hybrid,Automatic,2024,SUV|Sports,Discontinued
CAR-00108,Brazil,South America,R4,Troller,T4,13745.47,0.2464,3386.88,17132.35,Petrol,Automatic,2026,Sports|Premium,Active
CAR-00109,Japan,Asia,R1,Nissan,Altima,22681.02,0.2547,5776.86,28457.88,Hybrid,Manual,2022,Luxury|Electric-Vehicle,Discontinued
CAR-00110,New Zealand,Oceania,R6,Hulme,CanAm,29075.14,0.1248,3628.58,32703.72,Petrol,Automatic,2026,SUV|Commercial,Discontinued
CAR-00111,Italy,Europe,R2,Ferrari,Roma,344909.32,0.2437,84054.4,428963.72,Petrol,Automatic,2024,SUV|Premium,Discontinued
CAR-00112,Brazil,South America,R4,Troller,T4,34616.43,0.1933,6691.36,41307.79,Hybrid,Manual,2022,Sports|Economy,Active
CAR-00113,New Zealand,Oceania,R6,Hulme,CanAm,22915.64,0.1482,3396.1,26311.74,Electric,Automatic,2026,Sports|Commercial|Electric-Vehicle,Pending_Launch
CAR-00114,South Korea,Asia,R1,Hyundai,Sonata,16092.66,0.2036,3276.47,19369.13,Petrol,Automatic,2025,Sedan,Pending_Launch
CAR-00115,South Africa,Africa,R5,Birkin,S3,31628.52,0.1028,3251.41,34879.93,Hybrid,Manual,2026,SUV|Sports,Discontinued
CAR-00116,Canada,North America,R3,Campagna,T-Rex,22276.85,0.1999,4453.14,26729.99,Petrol,Manual,2024,SUV|Economy,Active
CAR-00117,Canada,North America,R3,Campagna,T-Rex,12200.98,0.2294,2798.9,14999.88,Diesel,Manual,2026,Sports|Sedan,Pending_Launch
CAR-00118,Brazil,South America,R4,Troller,T4,34405.87,0.0885,3044.92,37450.79,Petrol,Automatic,2025,Luxury|Commercial,Pending_Launch
CAR-00119,Argentina,South America,R4,Purasangre,Sprint,14994.51,0.0842,1262.54,16257.05,Electric,Manual,2024,Commercial|Electric-Vehicle,Pending_Launch
CAR-00120,South Korea,Asia,R1,Kia,Sportage,18326.23,0.1978,3624.93,21951.16,Petrol,Automatic,2024,Sports|Commercial,Active
CAR-00121,France,Europe,R2,Peugeot,5008,28463.84,0.1861,5297.12,33760.96,Diesel,Automatic,2023,SUV|Luxury,Pending_Launch
CAR-00122,Italy,Europe,R2,Fiat,500,18655.17,0.1147,2139.75,20794.92,Diesel,Manual,2025,Commercial|Economy,Discontinued
CAR-00123,Egypt,Africa,R5,EGA,7-Series Assy,15924.89,0.0937,1492.16,17417.05,Hybrid,Automatic,2026,Commercial|Electric-Vehicle,Discontinued
CAR-00124,South Korea,Asia,R1,Kia,EV6,23749.76,0.0914,2170.73,25920.49,Electric,Manual,2026,Luxury|Sports|Electric-Vehicle,Active
CAR-00125,New Zealand,Oceania,R6,Hulme,CanAm,27088.56,0.2708,7335.58,34424.14,Petrol,Automatic,2024,Luxury|Electric-Vehicle,Active
CAR-00126,Australia,Oceania,R6,Holden,Commodore,23713.6,0.2422,5743.43,29457.03,Electric,Manual,2025,Economy|Electric-Vehicle,Active
CAR-00127,Egypt,Africa,R5,EGA,7-Series Assy,21694.15,0.1366,2963.42,24657.57,Hybrid,Automatic,2024,Sports|Premium,Pending_Launch
CAR-00128,South Korea,Asia,R1,Kia,Sportage,26507.04,0.1573,4169.56,30676.6,Electric,Manual,2024,SUV|Electric-Vehicle,Active
CAR-00129,Canada,North America,R3,Campagna,T-Rex,27471.07,0.2676,7351.26,34822.33,Electric,Automatic,2026,SUV|Sports|Electric-Vehicle,Active
CAR-00130,South Korea,Asia,R1,Kia,Sorento,12473.99,0.1418,1768.81,14242.8,Diesel,Automatic,2023,Luxury|Sedan,Active
CAR-00131,Germany,Europe,R2,Volkswagen,Tiguan,33955.14,0.1002,3402.31,37357.45,Petrol,Automatic,2025,Luxury|Electric-Vehicle,Pending_Launch
CAR-00132,Germany,Europe,R2,BMW,5 Series,85723.98,0.2342,20076.56,105800.54,Diesel,Automatic,2023,SUV|Premium,Pending_Launch
CAR-00133,Egypt,Africa,R5,EGA,7-Series Assy,18084.08,0.1278,2311.15,20395.23,Hybrid,Manual,2025,SUV|Luxury,Discontinued
CAR-00134,Canada,North America,R3,Campagna,T-Rex,37122.97,0.2434,9035.73,46158.7,Diesel,Automatic,2026,Premium|Sedan,Discontinued
CAR-00135,China,Asia,R1,NIO,EC6,34130.32,0.137,4675.85,38806.17,Diesel,Automatic,2022,Electric-Vehicle|Sedan,Discontinued
CAR-00136,Italy,Europe,R2,Ferrari,SF90,336094.39,0.163,54783.39,390877.78,Hybrid,Automatic,2023,Luxury|Economy,Discontinued
CAR-00137,India,Asia,R1,Mahindra,XUV700,33818.58,0.21,7101.9,40920.48,Diesel,Manual,2023,Luxury|Premium,Discontinued
CAR-00138,Australia,Oceania,R6,Holden,Commodore,35552.29,0.0838,2979.28,38531.57,Diesel,Manual,2025,Sports|Electric-Vehicle,Pending_Launch
CAR-00139,China,Asia,R1,Geely,Emgrand,19829.93,0.0895,1774.78,21604.71,Hybrid,Automatic,2026,Premium|Commercial,Discontinued
CAR-00140,India,Asia,R1,Maruti Suzuki,Baleno,30682.15,0.1383,4243.34,34925.49,Petrol,Automatic,2022,Economy|Sedan,Pending_Launch
CAR-00141,New Zealand,Oceania,R6,Hulme,CanAm,36788.5,0.1888,6945.67,43734.17,Petrol,Automatic,2024,Premium|Commercial,Discontinued
CAR-00142,USA,North America,R3,Ford,Explorer,32501.52,0.149,4842.73,37344.25,Petrol,Automatic,2023,SUV|Economy,Discontinued
CAR-00143,Egypt,Africa,R5,EGA,7-Series Assy,33098.94,0.0926,3064.96,36163.9,Hybrid,Manual,2022,SUV|Premium,Active
CAR-00144,Mexico,North America,R3,Mastretta,MXT,37717.19,0.1886,7113.46,44830.65,Electric,Manual,2022,Commercial|Economy|Electric-Vehicle,Discontinued
CAR-00145,Mexico,North America,R3,Mastretta,MXT,32782.9,0.1674,5487.86,38270.76,Hybrid,Automatic,2025,Luxury|Sedan,Active
CAR-00146,Australia,Oceania,R6,Holden,Colorado,32829.85,0.2254,7399.85,40229.7,Petrol,Automatic,2024,Commercial|Electric-Vehicle,Pending_Launch
CAR-00147,Mexico,North America,R3,Mastretta,MXT,20525.92,0.1391,2855.16,23381.08,Hybrid,Automatic,2022,Economy|Sedan,Discontinued
CAR-00148,Brazil,South America,R4,Troller,T4,28626.2,0.2383,6821.62,35447.82,Petrol,Manual,2023,Sports|Sedan,Pending_Launch
CAR-00149,India,Asia,R1,Tata Motors,Altroz,12904.77,0.0934,1205.31,14110.08,Electric,Automatic,2023,Electric-Vehicle|Sedan,Pending_Launch
CAR-00150,Egypt,Africa,R5,EGA,7-Series Assy,23542.42,0.0954,2245.95,25788.37,Diesel,Automatic,2022,Sports|Sedan,Active
CAR-00151,India,Asia,R1,Maruti Suzuki,Baleno,24975.14,0.1574,3931.09,28906.23,Petrol,Automatic,2026,Sports|Commercial,Active
CAR-00152,Canada,North America,R3,Campagna,T-Rex,15188.57,0.2506,3806.26,18994.83,Hybrid,Manual,2024,Luxury|Sedan,Active
CAR-00153,Brazil,South America,R4,Troller,T4,35174.62,0.2503,8804.21,43978.83,Diesel,Automatic,2023,Premium|Electric-Vehicle,Active
CAR-00154,Italy,Europe,R2,Ferrari,296 GTB,222179.3,0.1945,43213.87,265393.17,Hybrid,Manual,2025,Premium|Electric-Vehicle,Discontinued
CAR-00155,Australia,Oceania,R6,Holden,Colorado,33406.82,0.0948,3166.97,36573.79,Electric,Manual,2023,Sports|Sedan|Electric-Vehicle,Discontinued
CAR-00156,France,Europe,R2,Peugeot,3008,25074.46,0.2536,6358.88,31433.34,Petrol,Manual,2023,SUV|Economy,Pending_Launch
CAR-00157,Brazil,South America,R4,Troller,T4,18515.74,0.207,3832.76,22348.5,Electric,Manual,2026,Sports|Electric-Vehicle,Active
CAR-00158,France,Europe,R2,Peugeot,208,29127.05,0.2241,6527.37,35654.42,Electric,Manual,2026,Premium|Commercial|Electric-Vehicle,Active
CAR-00159,USA,North America,R3,Chevrolet,Corvette,28070.82,0.0861,2416.9,30487.72,Electric,Automatic,2025,Commercial|Sedan|Electric-Vehicle,Pending_Launch
CAR-00160,Canada,North America,R3,Campagna,T-Rex,29903.95,0.1116,3337.28,33241.23,Hybrid,Automatic,2024,SUV|Sedan,Active
CAR-00161,Mexico,North America,R3,Mastretta,MXT,15399.92,0.1541,2373.13,17773.05,Petrol,Automatic,2023,Premium|Economy,Discontinued
CAR-00162,Germany,Europe,R2,Volkswagen,Golf,19545.51,0.1568,3064.74,22610.25,Hybrid,Manual,2026,Luxury,Discontinued
CAR-00163,Mexico,North America,R3,Mastretta,MXT,24954.9,0.1829,4564.25,29519.15,Hybrid,Automatic,2026,Premium|Sedan,Discontinued
CAR-00164,Egypt,Africa,R5,EGA,7-Series Assy,27166.95,0.0897,2436.88,29603.83,Electric,Automatic,2025,Commercial|Electric-Vehicle,Pending_Launch
CAR-00165,Canada,North America,R3,Campagna,T-Rex,23204.12,0.2565,5951.86,29155.98,Electric,Automatic,2026,SUV|Sedan|Electric-Vehicle,Pending_Launch
CAR-00166,United Kingdom,Europe,R2,Land Rover,Range Rover,19503.64,0.1573,3067.92,22571.56,Hybrid,Automatic,2022,Commercial|Electric-Vehicle,Pending_Launch
CAR-00167,Germany,Europe,R2,Volkswagen,Jetta,21703.16,0.2774,6020.46,27723.62,Electric,Manual,2022,Economy|Electric-Vehicle,Pending_Launch
CAR-00168,Japan,Asia,R1,Toyota,Corolla,30553.39,0.2408,7357.26,37910.65,Hybrid,Manual,2026,Electric-Vehicle,Discontinued
CAR-00169,Mexico,North America,R3,Mastretta,MXT,37756.01,0.2279,8604.59,46360.6,Electric,Automatic,2026,Electric-Vehicle,Discontinued
CAR-00170,Canada,North America,R3,Campagna,T-Rex,21577.3,0.2148,4634.8,26212.1,Hybrid,Automatic,2022,Sports|Commercial,Pending_Launch
CAR-00171,Australia,Oceania,R6,Holden,Commodore,30756.4,0.1967,6049.78,36806.18,Diesel,Automatic,2026,Sports|Economy,Active
CAR-00172,China,Asia,R1,BYD,Atto 3,23467.0,0.1638,3843.89,27310.89,Hybrid,Manual,2022,Commercial|Sedan,Discontinued
CAR-00173,Germany,Europe,R2,BMW,X5,94896.76,0.1757,16673.36,111570.12,Hybrid,Automatic,2024,Luxury|Sedan,Pending_Launch
CAR-00174,Brazil,South America,R4,Troller,T4,16998.87,0.1293,2197.95,19196.82,Electric,Manual,2023,Luxury|Electric-Vehicle,Discontinued
CAR-00175,Australia,Oceania,R6,Holden,Colorado,21068.88,0.2667,5619.07,26687.95,Electric,Automatic,2025,Sports|Premium|Electric-Vehicle,Discontinued
CAR-00176,Brazil,South America,R4,Troller,T4,13093.73,0.2711,3549.71,16643.44,Petrol,Automatic,2025,Luxury|Sports,Pending_Launch
